Nom de la playlist,Popularité,Nom du morceau,Artiste
Ma playlist,16,This Is What You Came For,"Calvin Harris, Rihanna"
Ma playlist,17,Who,"Lauv, BTS"
Ma playlist,18,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding"
Ma playlist,19,We Found Love,"Rihanna, Calvin Harris"
Ma playlist,20,greedy,Tate McRae
Ma playlist,21,I Wonder,Kanye West
Ma playlist,22,Redbone,Childish Gambino
Ma playlist,23,Unwritten,Natasha Bedingfield
Ma playlist,24,Bruises,Lewis Capaldi
Ma playlist,25,Love You With All My Heart,Crush
Ma playlist,26,you broke me first,Tate McRae
Ma playlist,27,One Day,Tate McRae
Ma playlist,28,that way - Jonasu Remix,"Tate McRae, Jonasu"
Ma playlist,29,BABY I'M BACK,The Kid LAROI
Ma playlist,30,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
Ma playlist,31,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen"
Ma playlist,32,Hollywood's Bleeding,Post Malone
Ma playlist,33,Saint-Tropez,Post Malone
Ma playlist,34,Die For Me (feat. Future & Halsey),"Post Malone, Halsey, Future"
Ma playlist,35,SWEATER WEATHER - HARDSTYLE,"POSEIDON, ZYZZMODE, Tazzy"
Ma playlist,36,Miracle,"Medusa, LexMorris, Ivan Crooks"
Ma playlist,37,all boys are the same,Izzy Richards
Ma playlist,38,No Reason,"Ryan.B, effie"
Ma playlist,39,Breathe,Olly Alexander (Years & Years)
Ma playlist,40,sweater weather,rhianne
Ma playlist,41,Poker Face,Lady Gaga
Ma playlist,42,Beauty And A Beat,"Justin Bieber, Nicki Minaj"
Ma playlist,43,Cruel Summer,Taylor Swift
Ma playlist,44,505,Arctic Monkeys
Ma playlist,45,DtMF,Bad Bunny
Ma playlist,46,Die With A Smile,"Lady Gaga, Bruno Mars"
Ma playlist,47,BAILE INoLVIDABLE,Bad Bunny
Ma playlist,48,That’s So True,Gracie Abrams
Ma playlist,49,Tweaker,G3 GELO
Ma playlist,50,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
Ma playlist,51,ALBATROS,Stormy
Ma playlist,52,FOREVER,Stormy
Ma playlist,53,TWINS,Stormy
Ma playlist,54,Mahboul Ana,Lazaro
Ma playlist,55,Dawini,"Tawsen, Ayoub Anbaoui"
Ma playlist,56,BLUE LOVE,ElGrandeToto
Ma playlist,57,112,Pause
Ma playlist,58,CARTIER SANTOS,SDM
Ma playlist,59,Alpha,"Damso, Kalash"
Ma playlist,60,SPIDER,"GIMS, DYSTINCT"
Ma playlist,61,Messy,Lola Young
Ma playlist,62,Sous la lune,Jul
Ma playlist,63,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
Ma playlist,64,No One Noticed,The Marías
Ma playlist,65,A Bar Song (Tipsy),Shaboozey
Ma playlist,66,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis"
Ma playlist,67,CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta"
Ma playlist,68,Love Somebody,Morgan Wallen
Ma playlist,69,LA MuDANZA,Bad Bunny
Ma playlist,70,Loco,Neton Vega
Ma playlist,71,DENIAL IS A RIVER,Doechii
Ma playlist,72,Sweater Weather,The Neighbourhood
