Nom de la playlist,Popularité,Nom du morceau,Artiste,Genres musicaux
Ma playlist,18,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding","dance pop, edm, electro house, house, pop, progressive house, uk dance"
Ma playlist,19,We Found Love,"Rihanna, Calvin Harris","barbadian pop, pop, urban contemporary"
Ma playlist,20,greedy,Tate McRae,pop
Ma playlist,21,I Wonder,Kanye West,"chicago rap, hip hop, rap"
Ma playlist,22,Redbone,Childish Gambino,"atl hip hop, hip hop, rap"
Ma playlist,23,Unwritten,Natasha Bedingfield,"dance pop, pop, post-teen pop"
Ma playlist,24,Bruises,Lewis Capaldi,"pop, uk pop"
Ma playlist,25,Love You With All My Heart,Crush,"k-pop, korean r&b"
Ma playlist,26,you broke me first,Tate McRae,pop
Ma playlist,27,One Day,Tate McRae,pop
Ma playlist,28,that way - Jonasu Remix,"Tate McRae, Jonasu",pop
Ma playlist,29,BABY I'M BACK,The Kid LAROI,australian hip hop
Ma playlist,30,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",australian hip hop
Ma playlist,31,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen","dfw rap, melodic rap, pop, rap"
Ma playlist,32,Hollywood's Bleeding,Post Malone,"dfw rap, melodic rap, pop, rap"
Ma playlist,33,Saint-Tropez,Post Malone,"dfw rap, melodic rap, pop, rap"
Ma playlist,34,Die For Me (feat. Future & Halsey),"Post Malone, Halsey, Future","dfw rap, melodic rap, pop, rap"
Ma playlist,35,SWEATER WEATHER - HARDSTYLE,"POSEIDON, ZYZZMODE, Tazzy",gym hardstyle
Ma playlist,36,Miracle,"Medusa, LexMorris, Ivan Crooks",
Ma playlist,37,all boys are the same,Izzy Richards,
Ma playlist,38,No Reason,"Ryan.B, effie",chinese hip hop
Ma playlist,39,Breathe,Olly Alexander (Years & Years),"dance pop, gauze pop, pop, pop dance, uk pop"
Ma playlist,40,sweater weather,rhianne,
Ma playlist,41,Poker Face,Lady Gaga,"art pop, dance pop, pop"
Ma playlist,42,Beauty And A Beat,"Justin Bieber, Nicki Minaj","canadian pop, pop"
Ma playlist,43,Cruel Summer,Taylor Swift,pop
Ma playlist,44,505,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie"
Ma playlist,45,DtMF,Bad Bunny,"reggaeton, trap latino, urbano latino"
Ma playlist,46,Die With A Smile,"Lady Gaga, Bruno Mars","art pop, dance pop, pop"
Ma playlist,47,BAILE INoLVIDABLE,Bad Bunny,"reggaeton, trap latino, urbano latino"
Ma playlist,48,That’s So True,Gracie Abrams,alt z
Ma playlist,49,Tweaker,G3 GELO,
Ma playlist,50,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V","reggaeton, trap latino, urbano latino"
Ma playlist,51,ALBATROS,Stormy,rap maroc
Ma playlist,52,FOREVER,Stormy,rap maroc
Ma playlist,53,TWINS,Stormy,rap maroc
Ma playlist,54,Mahboul Ana,Lazaro,
Ma playlist,55,Dawini,"Tawsen, Ayoub Anbaoui","moroccan pop, rap belge"
Ma playlist,56,BLUE LOVE,ElGrandeToto,"arabic hip hop, rap maroc"
Ma playlist,57,112,Pause,
Ma playlist,58,CARTIER SANTOS,SDM,"french hip hop, pop urbaine, r&b francais"
Ma playlist,59,Alpha,"Damso, Kalash","belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient"
Ma playlist,60,SPIDER,"GIMS, DYSTINCT","french hip hop, pop urbaine, r&b francais, rap conscient"
Ma playlist,61,Messy,Lola Young,uk pop
Ma playlist,62,Sous la lune,Jul,"french hip hop, pop urbaine, rap marseille"
Ma playlist,63,Qué Pasaría...,"Rauw Alejandro, Bad Bunny","puerto rican pop, reggaeton, trap latino, urbano latino"
Ma playlist,64,No One Noticed,The Marías,"bedroom pop, la indie"
Ma playlist,65,A Bar Song (Tipsy),Shaboozey,"modern country pop, pop rap"
Ma playlist,66,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis","hip hop, rap"
Ma playlist,67,CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta","reggaeton, trap latino, urbano latino"
Ma playlist,68,Love Somebody,Morgan Wallen,contemporary country
Ma playlist,69,LA MuDANZA,Bad Bunny,"reggaeton, trap latino, urbano latino"
Ma playlist,70,Loco,Neton Vega,corrido
Ma playlist,71,DENIAL IS A RIVER,Doechii,alternative r&b
Ma playlist,72,Sweater Weather,The Neighbourhood,"modern alternative rock, modern rock, pop"
